comunidad_autonoma,provincia,indicador,anio,valor,variable,unidad
Castilla - La Mancha,Albacete,Tamaño medio del hogar,2018,2.6,tamano_medio_hogar,personas_por_hogar
Castilla - La Mancha,Albacete,Edad media de la población,2019,43.2,edad_media,años
Castilla - La Mancha,Albacete,Porcentaje de población de 65 y más años,2019,19.4,pct_65_mas,porcentaje
Castilla - La Mancha,Albacete,Porcentaje de hogares unipersonales,2019,29.0,pct_hogares_unipersonales,porcentaje
Castilla - La Mancha,Albacete,Porcentaje de población menor de 18 años,2019,17.2,pct_menor_18,porcentaje
Castilla - La Mancha,Albacete,Porcentaje de población española,2019,93.2,pct_poblacion_espanola,porcentaje
Castilla - La Mancha,Albacete,Población,2019,384.847,poblacion,personas
Castilla - La Mancha,Albacete,Tamaño medio del hogar,2019,2.5,tamano_medio_hogar,personas_por_hogar
Castilla - La Mancha,Albacete,Edad media de la población,2020,43.4,edad_media,años
Castilla - La Mancha,Albacete,Porcentaje de población de 65 y más años,2020,19.4,pct_65_mas,porcentaje
Castilla - La Mancha,Albacete,Porcentaje de hogares unipersonales,2020,29.4,pct_hogares_unipersonales,porcentaje
Castilla - La Mancha,Albacete,Porcentaje de población menor de 18 años,2020,17.0,pct_menor_18,porcentaje
Castilla - La Mancha,Albacete,Porcentaje de población española,2020,93.1,pct_poblacion_espanola,porcentaje
Castilla - La Mancha,Albacete,Población,2020,383.541,poblacion,personas
Castilla - La Mancha,Albacete,Tamaño medio del hogar,2020,2.5,tamano_medio_hogar,personas_por_hogar
Castilla - La Mancha,Albacete,Edad media de la población,2021,43.6,edad_media,años
Castilla - La Mancha,Albacete,Porcentaje de población de 65 y más años,2021,19.7,pct_65_mas,porcentaje
Castilla - La Mancha,Albacete,Porcentaje de hogares unipersonales,2021,29.8,pct_hogares_unipersonales,porcentaje
Castilla - La Mancha,Albacete,Porcentaje de población menor de 18 años,2021,16.8,pct_menor_18,porcentaje
Castilla - La Mancha,Albacete,Porcentaje de población española,2021,92.9,pct_poblacion_espanola,porcentaje
Castilla - La Mancha,Albacete,Población,2021,382.761,poblacion,personas
Castilla - La Mancha,Albacete,Tamaño medio del hogar,2021,2.5,tamano_medio_hogar,personas_por_hogar
Castilla - La Mancha,Albacete,Edad media de la población,2022,43.9,edad_media,años
Castilla - La Mancha,Albacete,Porcentaje de población de 65 y más años,2022,19.9,pct_65_mas,porcentaje
Castilla - La Mancha,Albacete,Porcentaje de hogares unipersonales,2022,30.1,pct_hogares_unipersonales,porcentaje
Castilla - La Mancha,Albacete,Porcentaje de población menor de 18 años,2022,16.6,pct_menor_18,porcentaje
Castilla - La Mancha,Albacete,Porcentaje de población española,2022,92.4,pct_poblacion_espanola,porcentaje
Castilla - La Mancha,Albacete,Población,2022,384.466,poblacion,personas
Castilla - La Mancha,Albacete,Tamaño medio del hogar,2022,2.5,tamano_medio_hogar,personas_por_hogar
Castilla - La Mancha,Albacete,Edad media de la población,2023,44.1,edad_media,años
Castilla - La Mancha,Albacete,Porcentaje de población de 65 y más años,2023,20.4,pct_65_mas,porcentaje
Castilla - La Mancha,Albacete,Porcentaje de hogares unipersonales,2023,30.5,pct_hogares_unipersonales,porcentaje
Castilla - La Mancha,Albacete,Porcentaje de población menor de 18 años,2023,16.4,pct_menor_18,porcentaje
Castilla - La Mancha,Albacete,Porcentaje de población española,2023,91.8,pct_poblacion_espanola,porcentaje
Castilla - La Mancha,Albacete,Población,2023,385.575,poblacion,personas
Castilla - La Mancha,Albacete,Tamaño medio del hogar,2023,2.5,tamano_medio_hogar,personas_por_hogar
Comunitat Valenciana,Alicante/Alacant,Edad media de la población,2015,42.1,edad_media,años
